ip;namen;wert;date
67.21.195.255;lia.org;11;2016-11-11 20:15:15
200.206.86.74;jana.de;7;2017-12-05 13:38:40
101.208.244.172;frederick.ch;7;2017-12-05 13:38:45
251.220.197.248;charlotte.info;0;2017-12-05 13:38:50
164.144.240.19;carolin.info;-5;2017-12-05 13:38:55
161.124.197.101;johannes.com;-6;2017-12-05 13:39:00
192.5.125.180;eddy.com;-7;2017-12-05 13:39:05
117.164.85.92;mirko.ch;4;2017-12-05 13:39:10
51.210.251.168;peter.info;5;2017-12-05 13:39:15
63.187.132.248;nils.de;-1;2017-12-05 13:39:20
17.201.0.204;henrike.com;6;2017-12-05 13:39:25
1.224.215.71;ada.net;2;2017-12-05 13:39:30
157.35.47.115;lotta.ch;7;2017-12-05 13:39:35
253.77.246.75;sören.org;5;2017-12-05 13:49:30
